2026-02-06 08:56:55 | INFO     | ============================================================
2026-02-06 08:56:55 | INFO     | Stopping services...
2026-02-06 08:56:55 | INFO     | Stopping platform...
2026-02-06 08:56:55 | INFO     | All stopped
2026-02-06 09:00:13 | INFO     | Loaded config from examples/services_config_example.json
2026-02-06 09:00:13 | INFO     | Platform service initialized
2026-02-06 09:00:13 | INFO     | Initialized 2 services
2026-02-06 09:00:13 | INFO     | ============================================================
2026-02-06 09:00:13 | INFO     | Starting platform and services
2026-02-06 09:00:13 | INFO     | ============================================================
2026-02-06 09:00:13 | INFO     | Starting platform (priority service)...
2026-02-06 09:00:13 | INFO     | Waiting 2s for platform to initialize...
2026-02-06 09:00:15 | INFO     | Starting 2 services in parallel...
2026-02-06 09:00:15 | INFO     | All services started
2026-02-06 09:02:16 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 09:02:16 | INFO     | Platform service initialized
2026-02-06 09:02:16 | INFO     | Initialized 5 services
2026-02-06 09:02:16 | INFO     | ============================================================
2026-02-06 09:02:16 | INFO     | Stopping all services and platform
2026-02-06 09:02:16 | INFO     | ============================================================
2026-02-06 09:02:16 | INFO     | Stopping services...
2026-02-06 09:02:16 | INFO     | Stopping platform...
2026-02-06 09:02:16 | INFO     | All stopped
2026-02-06 09:02:29 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 09:02:29 | INFO     | Platform service initialized
2026-02-06 09:02:29 | INFO     | Initialized 5 services
2026-02-06 09:02:29 | INFO     | ============================================================
2026-02-06 09:02:29 | INFO     | Starting platform and services
2026-02-06 09:02:29 | INFO     | ============================================================
2026-02-06 09:02:29 | INFO     | Starting platform (priority service)...
2026-02-06 09:02:29 | INFO     | Waiting 2s for platform to initialize...
2026-02-06 09:02:31 | INFO     | Starting 5 services in parallel...
2026-02-06 09:02:31 | INFO     | All services started
2026-02-06 09:06:49 | INFO     | ============================================================
2026-02-06 09:06:49 | INFO     | Stopping all services and platform
2026-02-06 09:06:49 | INFO     | ============================================================
2026-02-06 09:06:49 | INFO     | Stopping services...
2026-02-06 09:06:49 | INFO     | Stopping platform...
2026-02-06 09:06:49 | INFO     | All stopped
2026-02-06 09:09:10 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 09:09:10 | INFO     | Platform service initialized
2026-02-06 09:09:10 | INFO     | Initialized 5 services
2026-02-06 09:09:10 | INFO     | ============================================================
2026-02-06 09:09:10 | INFO     | Starting platform
2026-02-06 09:09:10 | INFO     | ============================================================
2026-02-06 09:09:10 | INFO     | Entering monitor loop (scope=platform)
2026-02-06 09:13:58 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 09:13:58 | INFO     | Platform service initialized
2026-02-06 09:13:58 | INFO     | Initialized 5 services
2026-02-06 09:13:58 | INFO     | ============================================================
2026-02-06 09:13:58 | INFO     | Starting platform
2026-02-06 09:13:58 | INFO     | ============================================================
2026-02-06 09:13:58 | INFO     | Entering monitor loop (scope=platform)
2026-02-06 09:13:59 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 09:13:59 | INFO     | Platform service initialized
2026-02-06 09:13:59 | INFO     | Initialized 5 services
2026-02-06 09:13:59 | INFO     | ============================================================
2026-02-06 09:13:59 | INFO     | Stopping platform
2026-02-06 09:13:59 | INFO     | ============================================================
2026-02-06 09:13:59 | INFO     | Stopping manager daemon pid=2531579 (pidfile=/home/liuyuan/workspace/work/fsys/service/logs/manager-platform.pid)
2026-02-06 09:18:25 | INFO     | Loaded config from examples/services_config_example.json
2026-02-06 09:18:25 | INFO     | Platform service initialized
2026-02-06 09:18:25 | INFO     | Initialized 2 services
2026-02-06 09:18:25 | INFO     | ============================================================
2026-02-06 09:18:25 | INFO     | Starting platform and services
2026-02-06 09:18:25 | INFO     | ============================================================
2026-02-06 09:18:25 | INFO     | Starting platform (priority service)...
2026-02-06 09:18:25 | INFO     | Waiting 2s for platform to initialize...
2026-02-06 09:18:27 | INFO     | Starting 2 services in parallel...
2026-02-06 09:18:27 | INFO     | All services started
2026-02-06 09:19:03 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 09:19:03 | INFO     | Platform service initialized
2026-02-06 09:19:03 | INFO     | Initialized 5 services
2026-02-06 09:19:03 | INFO     | ============================================================
2026-02-06 09:19:03 | INFO     | Stopping platform
2026-02-06 09:19:03 | INFO     | ============================================================
2026-02-06 09:19:22 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 09:19:22 | INFO     | Platform service initialized
2026-02-06 09:19:22 | INFO     | Initialized 5 services
2026-02-06 09:19:22 | INFO     | ============================================================
2026-02-06 09:19:22 | INFO     | Starting platform
2026-02-06 09:19:22 | INFO     | ============================================================
2026-02-06 09:19:22 | INFO     | Entering monitor loop (scope=platform)
2026-02-06 09:19:58 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 09:19:58 | INFO     | Platform service initialized
2026-02-06 09:19:58 | INFO     | Initialized 5 services
2026-02-06 09:19:58 | INFO     | ============================================================
2026-02-06 09:19:58 | INFO     | Stopping service: service_B
2026-02-06 09:19:58 | INFO     | ============================================================
2026-02-06 09:20:05 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 09:20:05 | INFO     | Platform service initialized
2026-02-06 09:20:05 | INFO     | Initialized 5 services
2026-02-06 09:20:05 | INFO     | ============================================================
2026-02-06 09:20:05 | INFO     | Stopping service: service_A
2026-02-06 09:20:05 | INFO     | ============================================================
2026-02-06 09:20:09 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 09:20:09 | INFO     | Platform service initialized
2026-02-06 09:20:09 | INFO     | Initialized 5 services
2026-02-06 09:20:09 | INFO     | ============================================================
2026-02-06 09:20:09 | INFO     | Stopping platform
2026-02-06 09:20:09 | INFO     | ============================================================
2026-02-06 09:20:09 | INFO     | Stopping manager daemon pid=2552615 (pidfile=/home/liuyuan/workspace/work/fsys/service/logs/manager-platform.pid)
2026-02-06 09:20:09 | INFO     | Manager daemon already exited
2026-02-06 09:20:17 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 09:20:17 | INFO     | Platform service initialized
2026-02-06 09:20:17 | INFO     | Initialized 5 services
2026-02-06 09:20:17 | INFO     | ============================================================
2026-02-06 09:20:17 | INFO     | Stopping service: service_B
2026-02-06 09:20:17 | INFO     | ============================================================
2026-02-06 09:21:31 | INFO     | ============================================================
2026-02-06 09:21:31 | INFO     | Stopping all services and platform
2026-02-06 09:21:31 | INFO     | ============================================================
2026-02-06 09:21:31 | INFO     | Stopping services...
2026-02-06 09:21:31 | INFO     | Stopping platform...
2026-02-06 09:21:31 | INFO     | All stopped
2026-02-06 09:24:49 | INFO     | Loaded config from examples/services_config_example.json
2026-02-06 09:24:49 | INFO     | Platform service initialized
2026-02-06 09:24:49 | INFO     | Initialized 2 services
2026-02-06 09:24:49 | INFO     | ============================================================
2026-02-06 09:24:49 | INFO     | Starting platform and services
2026-02-06 09:24:49 | INFO     | ============================================================
2026-02-06 09:24:49 | INFO     | Starting platform (priority service)...
2026-02-06 09:24:49 | INFO     | Waiting 2s for platform to initialize...
2026-02-06 09:24:51 | INFO     | Starting 2 services in parallel...
2026-02-06 09:24:51 | INFO     | All services started
2026-02-06 09:25:15 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 09:25:15 | INFO     | Platform service initialized
2026-02-06 09:25:15 | INFO     | Initialized 5 services
2026-02-06 09:25:15 | INFO     | ============================================================
2026-02-06 09:25:15 | INFO     | Stopping platform
2026-02-06 09:25:15 | INFO     | ============================================================
2026-02-06 09:25:24 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 09:25:24 | INFO     | Platform service initialized
2026-02-06 09:25:24 | INFO     | Initialized 5 services
2026-02-06 09:25:24 | INFO     | ============================================================
2026-02-06 09:25:24 | INFO     | Starting platform
2026-02-06 09:25:24 | INFO     | ============================================================
2026-02-06 09:25:24 | INFO     | Entering monitor loop (scope=platform)
2026-02-06 09:26:07 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 09:26:07 | INFO     | Platform service initialized
2026-02-06 09:26:07 | INFO     | Initialized 5 services
2026-02-06 09:26:07 | INFO     | ============================================================
2026-02-06 09:26:07 | INFO     | Stopping service: service_B
2026-02-06 09:26:07 | INFO     | ============================================================
2026-02-06 09:26:17 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 09:26:17 | INFO     | Platform service initialized
2026-02-06 09:26:17 | INFO     | Initialized 5 services
2026-02-06 09:26:17 | INFO     | ============================================================
2026-02-06 09:26:17 | INFO     | Starting service: service_B
2026-02-06 09:26:17 | INFO     | ============================================================
2026-02-06 09:26:17 | INFO     | Entering monitor loop (scope=service:service_B)
2026-02-06 09:27:52 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 09:27:52 | INFO     | Platform service initialized
2026-02-06 09:27:52 | INFO     | Initialized 5 services
2026-02-06 09:27:52 | INFO     | ============================================================
2026-02-06 09:27:52 | INFO     | Stopping service: service_A
2026-02-06 09:27:52 | INFO     | ============================================================
2026-02-06 09:30:12 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 09:30:12 | INFO     | Platform service initialized
2026-02-06 09:30:12 | INFO     | Initialized 5 services
2026-02-06 09:30:12 | INFO     | ============================================================
2026-02-06 09:30:12 | INFO     | Stopping service: service_A
2026-02-06 09:30:12 | INFO     | ============================================================
2026-02-06 09:30:30 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 09:30:30 | INFO     | Platform service initialized
2026-02-06 09:30:30 | INFO     | Initialized 5 services
2026-02-06 09:30:30 | INFO     | ============================================================
2026-02-06 09:30:30 | INFO     | Stopping service: service_A
2026-02-06 09:30:30 | INFO     | ============================================================
2026-02-06 09:30:55 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 09:30:55 | INFO     | Platform service initialized
2026-02-06 09:30:55 | INFO     | Initialized 5 services
2026-02-06 09:30:55 | INFO     | ============================================================
2026-02-06 09:30:55 | INFO     | Starting service: service_A
2026-02-06 09:30:55 | INFO     | ============================================================
2026-02-06 09:30:55 | INFO     | Entering monitor loop (scope=service:service_A)
2026-02-06 09:31:31 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 09:31:31 | INFO     | Platform service initialized
2026-02-06 09:31:31 | INFO     | Initialized 5 services
2026-02-06 09:31:31 | INFO     | ============================================================
2026-02-06 09:31:31 | INFO     | Stopping service: service_A
2026-02-06 09:31:31 | INFO     | ============================================================
2026-02-06 09:31:31 | INFO     | Stopping manager daemon pid=2598769 (pidfile=/home/liuyuan/workspace/work/fsys/service/logs/manager-service_A.pid)
2026-02-06 09:31:31 | INFO     | Manager daemon already exited
2026-02-06 09:32:06 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 09:32:06 | INFO     | Platform service initialized
2026-02-06 09:32:06 | INFO     | Initialized 5 services
2026-02-06 09:32:06 | INFO     | ============================================================
2026-02-06 09:32:06 | INFO     | Stopping service: service_B
2026-02-06 09:32:06 | INFO     | ============================================================
2026-02-06 09:32:06 | INFO     | Stopping manager daemon pid=2580022 (pidfile=/home/liuyuan/workspace/work/fsys/service/logs/manager-service_B.pid)
2026-02-06 09:32:06 | INFO     | Manager daemon already exited
2026-02-06 09:32:10 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 09:32:10 | INFO     | Platform service initialized
2026-02-06 09:32:10 | INFO     | Initialized 5 services
2026-02-06 09:32:10 | INFO     | ============================================================
2026-02-06 09:32:10 | INFO     | Stopping service: service_A
2026-02-06 09:32:10 | INFO     | ============================================================
2026-02-06 09:32:12 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 09:32:12 | INFO     | Platform service initialized
2026-02-06 09:32:12 | INFO     | Initialized 5 services
2026-02-06 09:32:12 | INFO     | ============================================================
2026-02-06 09:32:12 | INFO     | Stopping platform
2026-02-06 09:32:12 | INFO     | ============================================================
2026-02-06 09:32:12 | INFO     | Stopping manager daemon pid=2576382 (pidfile=/home/liuyuan/workspace/work/fsys/service/logs/manager-platform.pid)
2026-02-06 09:32:12 | INFO     | Manager daemon already exited
2026-02-06 09:32:17 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 09:32:17 | INFO     | Platform service initialized
2026-02-06 09:32:17 | INFO     | Initialized 5 services
2026-02-06 09:32:17 | INFO     | ============================================================
2026-02-06 09:32:17 | INFO     | Starting platform
2026-02-06 09:32:17 | INFO     | ============================================================
2026-02-06 09:32:17 | INFO     | Entering monitor loop (scope=platform)
2026-02-06 09:32:58 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 09:32:58 | INFO     | Platform service initialized
2026-02-06 09:32:58 | INFO     | Initialized 5 services
2026-02-06 09:32:58 | INFO     | ============================================================
2026-02-06 09:32:58 | INFO     | Starting platform
2026-02-06 09:32:58 | INFO     | ============================================================
2026-02-06 09:32:58 | INFO     | Entering monitor loop (scope=platform)
2026-02-06 09:33:33 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 09:33:33 | INFO     | Platform service initialized
2026-02-06 09:33:33 | INFO     | Initialized 5 services
2026-02-06 09:33:33 | INFO     | ============================================================
2026-02-06 09:33:33 | INFO     | Stopping service: service_A
2026-02-06 09:33:33 | INFO     | ============================================================
2026-02-06 09:33:41 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 09:33:41 | INFO     | Platform service initialized
2026-02-06 09:33:41 | INFO     | Initialized 5 services
2026-02-06 09:33:41 | INFO     | ============================================================
2026-02-06 09:33:41 | INFO     | Starting service: service_A
2026-02-06 09:33:41 | INFO     | ============================================================
2026-02-06 09:33:41 | INFO     | Entering monitor loop (scope=service:service_A)
2026-02-06 10:14:05 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 10:14:05 | INFO     | Platform service initialized
2026-02-06 10:14:05 | INFO     | Initialized 5 services
2026-02-06 10:14:05 | INFO     | ============================================================
2026-02-06 10:14:05 | INFO     | Stopping service: service_B
2026-02-06 10:14:05 | INFO     | ============================================================
2026-02-06 10:14:10 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 10:14:10 | INFO     | Platform service initialized
2026-02-06 10:14:10 | INFO     | Initialized 5 services
2026-02-06 10:14:10 | INFO     | ============================================================
2026-02-06 10:14:10 | INFO     | Starting service: service_B
2026-02-06 10:14:10 | INFO     | ============================================================
2026-02-06 10:14:10 | INFO     | Entering monitor loop (scope=service:service_B)
2026-02-06 10:15:00 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 10:15:00 | INFO     | Platform service initialized
2026-02-06 10:15:00 | INFO     | Initialized 5 services
2026-02-06 10:15:00 | INFO     | ============================================================
2026-02-06 10:15:00 | INFO     | Stopping service: service_A
2026-02-06 10:15:00 | INFO     | ============================================================
2026-02-06 10:15:00 | INFO     | Stopping manager daemon pid=2610004 (pidfile=/home/liuyuan/workspace/work/fsys/service/logs/manager-service_A.pid)
2026-02-06 10:15:00 | INFO     | Manager daemon already exited
2026-02-06 10:15:05 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 10:15:05 | INFO     | Platform service initialized
2026-02-06 10:15:05 | INFO     | Initialized 5 services
2026-02-06 10:15:05 | INFO     | ============================================================
2026-02-06 10:15:05 | INFO     | Starting service: service_A
2026-02-06 10:15:05 | INFO     | ============================================================
2026-02-06 10:15:05 | INFO     | Entering monitor loop (scope=service:service_A)
2026-02-06 10:18:32 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 10:18:32 | INFO     | Platform service initialized
2026-02-06 10:18:32 | INFO     | Initialized 5 services
2026-02-06 10:18:32 | INFO     | ============================================================
2026-02-06 10:18:32 | INFO     | Stopping service: service_A
2026-02-06 10:18:32 | INFO     | ============================================================
2026-02-06 10:18:32 | INFO     | Stopping manager daemon pid=2782316 (pidfile=/home/liuyuan/workspace/work/fsys/service/logs/manager-service_A.pid)
2026-02-06 10:18:32 | INFO     | Manager daemon already exited
2026-02-06 10:18:54 | INFO     | Loaded config from /home/liuyuan/workspace/work/fsys/service/services_config.json
2026-02-06 10:18:54 | INFO     | Platform service initialized
2026-02-06 10:18:54 | INFO     | Initialized 5 services
2026-02-06 10:18:54 | INFO     | ============================================================
2026-02-06 10:18:54 | INFO     | Starting service: service_A
2026-02-06 10:18:54 | INFO     | ============================================================
